N,"d1, мкм","d2, мкм","D, мкм","n, шт",,ширина спектра,,,,ширина спектра,,,
1,4,4,,17,,в одну  сторону винт крутим,,,,в другую сторону винт крутим,,,
2,4,"4,05",,16,,N,"d1, мкм","d2, мкм","D, мкм",N,"d1, мкм","d2, мкм","D, мкм"
3,4,"4,1",,16,,1,4,"5,8",,1,4,"3,15",
4,4,"4,15",,15,,2,,"5,9",,2,4,1.5,
5,4,"4,2",,14,,3,,6,,3,4,1.7,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
было 17 колец изначально (4 мкм),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ЛАЗЕР,,,,,,,,,,,,,
N,"d1, мкм","d2, мкм","D, мкм","n, шт",,,,,,,,,
1,4,4,,13,,,,,,,,,
2,4,"4,05",,13,,,,,,,,,
3,4,"5,6",,13,,,,,,,,,
,,,,,,,,,,,,,
ничего для лаезра не меняется,,,,,,,,,,,,,